Ticker,Fund Name,1 Yr TR,Expense ratio,AUM
VOO,Vanguard S&P 500 ETF,13.32%,0.03%,$863.89B
SPY,SPDR S&P 500 ETF Trust,13.23%,0.09%,$722.00B
IVV,iShares Core S&P 500 ETF,13.31%,0.03%,$671.55B
VTI,Vanguard Total Stock Market ETF,12.42%,0.03%,$571.35B
QQQ,Invesco QQQ Trust Series I,14.28%,0.20%,$402.14B
VUG,Vanguard Growth ETF,13.61%,0.04%,$207.16B
VEA,Vanguard FTSE Developed Markets ETF,29.61%,0.03%,$190.32B
IEFA,iShares Core MSCI EAFE ETF,27.19%,0.07%,$161.87B
VTV,Vanguard Value ETF,12.16%,0.04%,$160.09B
GLD,SPDR Gold Shares,61.67%,0.40%,$145.91B
BND,Vanguard Total Bond Market ETF,6.11%,0.03%,$144.96B
AGG,iShares Core U.S. Aggregate Bond ETF,6.20%,0.03%,$134.16B
IWF,iShares Russell 1000 Growth ETF,12.70%,0.18%,$124.79B
IEMG,iShares Core MSCI Emerging Markets ETF,24.93%,0.09%,$117.80B
VXUS,Vanguard Total International Stock ETF,26.72%,0.05%,$115.74B
VGT,Vanguard Information Technology ETF,15.78%,0.09%,$111.41B
VWO,Vanguard FTSE Emerging Markets ETF,19.59%,0.07%,$103.80B
IJH,iShares Core S&P Mid-Cap ETF,2.86%,0.05%,$102.94B
VIG,Vanguard Dividend Appreciation ETF,10.73%,0.05%,$102.36B
SPYM,State Street SPDR Portfolio S&P 500 ETF,13.33%,0.02%,$101.20B
SPLG,SPDR Portfolio S&P 500 ETF,19.68%,0.02%,$96.16B
VO,Vanguard Mid-Cap ETF,7.71%,0.04%,$93.14B
XLK,State Street Technology Select Sector SPDR ETF,18.83%,0.08%,$92.16B
IJR,iShares Core S&P Small Cap ETF,1.63%,0.06%,$90.73B
ITOT,iShares Core S&P Total U.S. Stock Market ETF,12.30%,0.03%,$79.67B
RSP,Invesco S&P 500 Equal Weight ETF,7.68%,0.20%,$77.59B
IWM,iShares Russell 2000 ETF,8.12%,0.19%,$76.31B
BNDX,Vanguard Total International Bond ETF,2.43%,0.07%,$74.15B
SCHD,Schwab US Dividend Equity ETF,2.42%,0.06%,$72.12B
VB,Vanguard Small-Cap ETF,3.71%,0.05%,$70.97B
IWD,iShares Russell 1000 Value ETF,12.11%,0.18%,$70.14B
EFA,iShares MSCI EAFE ETF,26.74%,0.32%,$69.85B
QQQM,Invesco NASDAQ 100 ETF,14.34%,0.15%,$69.78B
VYM,Vanguard High Dividend Yield Index ETF,12.54%,0.06%,$69.40B
IAU,iShares Gold Trust,61.97%,0.25%,$67.95B
IBIT,iShares Bitcoin Trust ETF,-17.45%,0.25%,$66.79B
SGOV,iShares 0-3 Month Treasury Bond ETF,4.26%,0.09%,$66.45B
IVW,iShares S&P 500 Growth ETF,16.40%,0.18%,$65.85B
SCHX,Schwab U.S. Large-Cap ETF,12.59%,0.03%,$62.85B
VT,Vanguard Total World Stock ETF,17.36%,0.06%,$59.32B
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,8.01%,0.03%,$59.14B
SCHF,Schwab International Equity ETF,29.11%,0.03%,$54.75B
XLF,State Street Financial Select Sector SPDR ETF,12.11%,0.08%,$54.06B
VEU,Vanguard FTSE All-World ex-US Index Fund,26.96%,0.04%,$53.49B
SCHG,Schwab U.S. Large-Cap Growth ETF,11.78%,0.04%,$52.09B
IXUS,iShares Core MSCI Total International Stock ETF,26.85%,0.07%,$51.50B
QUAL,iShares MSCI USA Quality Factor ETF,9.17%,0.15%,$48.09B
IVE,iShares S&P 500 Value ETF,9.62%,0.18%,$48.02B
TLT,iShares 20+ Year Treasury Bond ETF,1.52%,0.15%,$47.63B
VV,Vanguard Large-Cap ETF,13.40%,0.04%,$47.04B
IWR,iShares Russell Midcap ETF,6.20%,0.18%,$46.66B
IWB,iShares Russell 1000 ETF,12.44%,0.15%,$45.88B
IEF,iShares 7-10 Year Treasury Bond ETF,7.00%,0.15%,$45.15B
SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,16.54%,0.04%,$44.94B
BIL,State Street SPDR Bloomberg 1-3 Month T-Bill ETF,4.18%,0.14%,$42.87B
DIA,SPDR Dow Jones Industrial Average ETF Trust,11.74%,0.16%,$42.54B
VTEB,Vanguard Tax-Exempt Bond ETF,2.84%,0.03%,$42.12B
BSV,Vanguard Short-Term Bond ETF,5.87%,0.03%,$41.95B
JEPI,JPMorgan Equity Premium Income ETF,5.45%,0.35%,$41.58B
MUB,iShares National Muni Bond ETF,2.75%,0.05%,$41.44B
XLV,State Street Health Care Select Sector SPDR ETF,12.56%,0.08%,$40.71B
VCSH,Vanguard Short-Term Corporate Bond ETF,6.41%,0.03%,$40.20B
DFAC,Dimensional U.S. Core Equity 2 ETF,11.34%,0.17%,$40.10B
MBB,iShares MBS ETF,7.32%,0.04%,$39.00B
SCHB,Schwab U.S. Broad Market ETF,12.31%,0.03%,$37.97B
DGRO,iShares Core Dividend Growth ETF,12.76%,0.08%,$36.14B
VGIT,Vanguard Intermediate-Term Treasury ETF,6.80%,0.03%,$35.97B
SMH,VanEck Semiconductor ETF,39.57%,0.35%,$35.97B
JPST,JPMorgan Ultra-Short Income ETF,4.92%,0.18%,$35.42B
VONG,Vanguard Russell 1000 Growth ETF,12.80%,0.07%,$35.35B
VNQ,Vanguard Real Estate ETF,-0.94%,0.13%,$34.13B
VBR,Vanguard Small Cap Value ETF,4.89%,0.07%,$33.91B
IUSB,iShares Core Total USD Bond Market ETF,6.44%,0.06%,$33.86B
GOVT,iShares U.S. Treasury Bond ETF,5.43%,0.05%,$33.34B
SPDW,SPDR Portfolio Developed World ex-US ETF,29.29%,0.03%,$33.31B
SLV,iShares Silver Trust,107.66%,0.50%,$32.88B
MGK,Vanguard Mega Cap Growth ETF,14.91%,0.07%,$32.83B
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,11.67%,0.35%,$31.83B
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,8.01%,0.03%,$59.14B
